B_T,M_muB_per_Yb,n_pixels,source
2.2594226142742584,0.5794444444444444,4,visible_curve
2.2790697674418605,0.5838888888888888,3,visible_curve
2.2987169206094626,0.5879166666666666,4,visible_curve
2.3211708099438653,0.5905555555555556,4,visible_curve
2.3408179631114674,0.5881481481481482,3,visible_curve
2.36046511627907,0.5886111111111112,4,visible_curve
2.587810745789896,0.6577777777777778,1,visible_curve
2.599037690457097,0.6583333333333333,3,visible_curve
2.6186848436246994,0.6594444444444445,4,visible_curve
2.641138732959102,0.6594444444444445,4,visible_curve
2.660785886126704,0.6616666666666666,3,visible_curve
2.6804330392943063,0.6638888888888889,4,visible_curve
2.700080192461909,0.6668518518518519,3,visible_curve
2.719727345629511,0.6713888888888889,4,visible_curve
2.739374498797113,0.6749999999999999,3,visible_curve
2.7590216519647153,0.6786111111111112,4,visible_curve
2.781475541299118,0.6831944444444444,4,visible_curve
2.80112269446672,0.6868518518518519,3,visible_curve
2.820769847634322,0.6909722222222222,4,visible_curve
2.8404170008019247,0.6946296296296296,3,visible_curve
2.860064153969527,0.69875,4,visible_curve
2.879711307137129,0.7022222222222222,3,visible_curve
2.8993584603047315,0.7055555555555555,4,visible_curve
2.919005613472334,0.71,3,visible_curve
2.938652766639936,0.7136111111111111,4,visible_curve
2.9611066559743384,0.7173611111111111,4,visible_curve
2.980753809141941,0.7207407407407408,3,visible_curve
3.000400962309543,0.725,4,visible_curve
3.0200481154771452,0.7281481481481481,3,visible_curve
3.0396952686447474,0.7323611111111111,4,visible_curve
3.0593424218123495,0.7355555555555555,3,visible_curve
3.078989574979952,0.7394444444444445,4,visible_curve
3.1014434643143547,0.7438888888888888,4,visible_curve
3.1210906174819564,0.7475925925925927,3,visible_curve
3.140737770649559,0.7509722222222223,4,visible_curve
3.1603849238171615,0.755,3,visible_curve
3.1800320769847636,0.7583333333333333,4,visible_curve
3.1996792301523658,0.762037037037037,3,visible_curve
3.219326383319968,0.7652777777777777,4,visible_curve
3.2389735364875705,0.7690740740740741,3,visible_curve
3.2586206896551726,0.7722222222222221,4,visible_curve
3.2810745789895748,0.7765277777777778,4,visible_curve
3.3007217321571773,0.7801851851851852,3,visible_curve
3.3203688853247795,0.7834722222222222,4,visible_curve
3.3400160384923816,0.7870370370370371,3,visible_curve
3.359663191659984,0.7908333333333333,4,visible_curve
3.379310344827586,0.7940740740740742,3,visible_curve
3.3989574979951884,0.7973611111111112,4,visible_curve
3.421411387329591,0.8018055555555555,4,visible_curve
3.441058540497193,0.8048148148148148,3,visible_curve
3.4607056936647957,0.8086111111111112,4,visible_curve
3.480352846832398,0.8116666666666666,3,visible_curve
3.5,0.8152777777777778,4,visible_curve
3.519647153167602,0.8188888888888889,3,visible_curve
3.5392943063352047,0.8219444444444445,4,visible_curve
3.558941459502807,0.8255555555555555,3,visible_curve
3.578588612670409,0.82875,4,visible_curve
3.6010425020048116,0.8327777777777778,4,visible_curve
3.620689655172414,0.8359259259259259,3,visible_curve
3.640336808340016,0.8390277777777777,4,visible_curve
3.6599839615076184,0.8427777777777777,3,visible_curve
3.6796311146752205,0.8459722222222222,4,visible_curve
3.6992782678428227,0.8487037037037037,3,visible_curve
3.7189254210104252,0.8522222222222222,4,visible_curve
3.7413793103448274,0.8556944444444444,4,visible_curve
3.76102646351243,0.8587037037037036,3,visible_curve
3.780673616680032,0.8618055555555555,4,visible_curve
3.8003207698476342,0.8650000000000001,3,visible_curve
3.819967923015237,0.8677777777777778,4,visible_curve
3.8396150761828394,0.8711111111111111,3,visible_curve
3.859262229350441,0.8743055555555556,4,visible_curve
3.8789093825180436,0.8770370370370371,3,visible_curve
3.8985565356856458,0.8801388888888889,4,visible_curve
3.9210104250200484,0.883888888888889,4,visible_curve
3.9406575781876505,0.8862962962962962,3,visible_curve
3.9603047313552526,0.8893055555555556,4,visible_curve
3.9799518845228548,0.8924074074074074,3,visible_curve
3.999599037690457,0.8951388888888889,4,visible_curve
4.019246190858059,0.8981481481481483,3,visible_curve
4.038893344025662,0.9011111111111111,4,visible_curve
4.061347233360064,0.9044444444444444,4,visible_curve
4.080994386527666,0.907037037037037,3,visible_curve
4.1006415396952685,0.9098611111111111,4,visible_curve
4.120288692862871,0.9127777777777778,3,visible_curve
4.139935846030474,0.9148611111111111,4,visible_curve
4.159582999198076,0.9177777777777778,3,visible_curve
4.179230152365678,0.9204166666666667,4,visible_curve
4.19887730553328,0.9231481481481482,3,visible_curve
4.218524458700882,0.9259722222222222,4,visible_curve
4.240978348035284,0.9288888888888889,4,visible_curve
4.260625501202887,0.9316666666666666,3,visible_curve
4.280272654370489,0.9344444444444444,4,visible_curve
4.2999198075380916,0.9374074074074074,3,visible_curve
4.319566960705694,0.9394444444444444,4,visible_curve
4.339214113873296,0.9418518518518519,3,visible_curve
