B_T,M_muB_per_Yb,M_err_muB_per_Yb,T_sample_K,moment_column,mass_mg,source_file
0.79747,0.197944,9.30382e-05,2.5004,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.805177,0.199589,8.90198e-05,2.5006,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.811461,0.201243,7.74311e-05,2.5008,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.819498,0.202996,0.000104373,2.5008,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.826489,0.204755,9.73725e-05,2.5006,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.833491,0.206435,9.21719e-05,2.5006,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.839441,0.20816,9.02998e-05,2.5005,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.84748,0.209807,9.50508e-05,2.5003,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.85343,0.211401,8.10399e-05,2.5002,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.86149,0.213174,8.46986e-05,2.5001,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.867797,0.214873,9.51835e-05,2.5000,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.874444,0.216623,8.7266e-05,2.4999,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.881787,0.218219,8.67083e-05,2.5000,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.888417,0.219884,9.46315e-05,2.5001,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.896097,0.221642,9.49098e-05,2.5002,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.902407,0.223307,8.06567e-05,2.5003,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.910112,0.22506,9.77437e-05,2.5004,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.916407,0.226689,9.65704e-05,2.5006,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.923738,0.228309,8.45194e-05,2.5006,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.930379,0.230125,8.90035e-05,2.5006,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.938785,0.231752,0.000100756,2.5006,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.944733,0.23341,0.000108359,2.5005,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.952772,0.235163,9.47561e-05,2.5005,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.95801,0.236842,8.78471e-05,2.5004,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.96536,0.238526,0.000102164,2.5002,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.972689,0.240234,0.000100671,2.5000,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.980671,0.241923,0.000100434,2.5001,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.986272,0.243613,0.00010003,2.5002,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.993639,0.245189,8.93421e-05,2.5003,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.999947,0.246797,9.91441e-05,2.5003,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.00798,0.248681,0.000100719,2.5003,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.01531,0.250212,0.000108549,2.5002,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.02127,0.251931,9.38139e-05,2.5003,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.02897,0.253543,8.73122e-05,2.5005,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.03667,0.255281,0.000106775,2.5006,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.04261,0.256893,8.22837e-05,2.5006,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.04927,0.258614,0.000102772,2.5006,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.05731,0.260168,8.47014e-05,2.5006,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.06325,0.261843,0.000105046,2.5005,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.07024,0.263522,0.000102037,2.5004,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.07724,0.265368,0.000126721,2.5005,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.08494,0.266902,0.000103989,2.5005,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.09158,0.268601,8.91275e-05,2.5005,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.09889,0.270276,0.000117167,2.5004,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.10587,0.27192,9.3375e-05,2.5003,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.11217,0.273566,9.36896e-05,2.5003,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.11987,0.275199,9.89631e-05,2.5004,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.12615,0.276809,9.1915e-05,2.5004,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.13384,0.278557,9.86967e-05,2.5004,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.14016,0.280117,8.15083e-05,2.5003,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.14822,0.281908,9.78402e-05,2.5002,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.15452,0.283533,0.000114423,2.5002,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.16188,0.285125,9.86138e-05,2.5001,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.16855,0.286808,9.01161e-05,2.5003,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.17519,0.288447,0.000107334,2.5003,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.18325,0.290162,0.000107479,2.5004,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.18882,0.291897,0.000100979,2.5005,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.19685,0.293431,9.61554e-05,2.5006,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.20348,0.295029,7.01835e-05,2.5006,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.20977,0.296742,0.000107943,2.5006,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.21747,0.298362,9.65077e-05,2.5006,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.22377,0.299968,7.91084e-05,2.5006,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.23182,0.301673,0.000108859,2.5006,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.23776,0.303239,9.44732e-05,2.5006,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.24441,0.304889,9.17056e-05,2.5005,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.25281,0.30666,0.000111323,2.5004,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.25946,0.30823,9.72515e-05,2.5004,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.26611,0.309722,8.92571e-05,2.5004,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.27345,0.311383,0.00010258,2.5003,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.28079,0.313103,0.00010193,2.5003,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.28745,0.314769,0.00010712,2.5002,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.2934,0.316404,0.000104167,2.5002,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.30075,0.31813,0.000118603,2.5002,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.30879,0.319674,8.82249e-05,2.5004,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.31546,0.321285,7.92372e-05,2.5005,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.32176,0.322885,0.000104818,2.5007,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.32943,0.324696,0.000112632,2.5006,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.33574,0.326352,0.000106927,2.5005,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.34274,0.327866,0.000112816,2.5005,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.35075,0.329508,0.000117597,2.5004,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.35775,0.331042,0.000111372,2.5003,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.36335,0.332746,0.000106177,2.5004,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.3707,0.334329,0.000105204,2.5005,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.3791,0.335924,0.000128319,2.5006,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.38574,0.33757,0.000108978,2.5006,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.39276,0.33922,0.000111867,2.5006,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.39907,0.340753,8.87886e-05,2.5005,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.40607,0.342421,8.38567e-05,2.5004,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.41342,0.34405,0.000112221,2.5002,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.41973,0.34571,0.000115978,2.5002,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
1.42673,0.347392,0.000116882,2.5002,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
