# Intensity Error [H,-0.5H,0] DeltaE [0,K,0] [0,0,L]
#  shape: 134x58x1x1
1.453174e-03 2.242308e-04 -2.980000e-01 1.125000e+00 5.000000e-01 0.000000e+00
1.433648e-03 2.212180e-04 -2.980000e-01 1.175000e+00 5.000000e-01 0.000000e+00
1.366882e-03 2.161246e-04 -2.980000e-01 1.225000e+00 5.000000e-01 0.000000e+00
9.533596e-04 1.801693e-04 -2.980000e-01 1.275000e+00 5.000000e-01 0.000000e+00
1.005876e-03 1.836483e-04 -2.980000e-01 1.325000e+00 5.000000e-01 0.000000e+00
1.249007e-03 2.026165e-04 -2.980000e-01 1.375000e+00 5.000000e-01 0.000000e+00
9.790019e-04 1.787418e-04 -2.980000e-01 1.425000e+00 5.000000e-01 0.000000e+00
7.133649e-04 1.520909e-04 -2.980000e-01 1.475000e+00 5.000000e-01 0.000000e+00
7.071322e-04 1.507623e-04 -2.980000e-01 1.525000e+00 5.000000e-01 0.000000e+00
8.796077e-04 1.662315e-04 -2.980000e-01 1.575000e+00 5.000000e-01 0.000000e+00
8.111325e-04 1.590779e-04 -2.980000e-01 1.625000e+00 5.000000e-01 0.000000e+00
4.920926e-04 1.230242e-04 -2.980000e-01 1.675000e+00 5.000000e-01 0.000000e+00
4.251563e-04 1.136286e-04 -2.980000e-01 1.725000e+00 5.000000e-01 0.000000e+00
4.198869e-04 1.122204e-04 -2.980000e-01 1.775000e+00 5.000000e-01 0.000000e+00
3.546524e-04 1.023810e-04 -2.980000e-01 1.825000e+00 5.000000e-01 0.000000e+00
5.241593e-04 1.235467e-04 -2.980000e-01 1.875000e+00 5.000000e-01 0.000000e+00
4.594078e-04 1.148535e-04 -2.980000e-01 1.925000e+00 5.000000e-01 0.000000e+00
3.957913e-04 1.057806e-04 -2.980000e-01 1.975000e+00 5.000000e-01 0.000000e+00
6.086969e-04 1.297775e-04 -2.980000e-01 2.025000e+00 5.000000e-01 0.000000e+00
7.617488e-04 1.439589e-04 -2.980000e-01 2.075000e+00 5.000000e-01 0.000000e+00
2.672967e-04 8.452791e-05 -2.980000e-01 2.125000e+00 5.000000e-01 0.000000e+00
6.284429e-04 1.282830e-04 -2.980000e-01 2.175000e+00 5.000000e-01 0.000000e+00
5.599684e-04 1.193876e-04 -2.980000e-01 2.225000e+00 5.000000e-01 0.000000e+00
5.540470e-04 1.181245e-04 -2.980000e-01 2.275000e+00 5.000000e-01 0.000000e+00
5.386893e-04 1.148507e-04 -2.980000e-01 2.325000e+00 5.000000e-01 0.000000e+00
5.258164e-04 1.121074e-04 -2.980000e-01 2.375000e+00 5.000000e-01 0.000000e+00
5.120218e-04 1.091693e-04 -2.980000e-01 2.425000e+00 5.000000e-01 0.000000e+00
3.608421e-04 9.021318e-05 -2.980000e-01 2.475000e+00 5.000000e-01 0.000000e+00
6.165161e-04 1.165146e-04 -2.980000e-01 2.525000e+00 5.000000e-01 0.000000e+00
5.565204e-04 1.091449e-04 -2.980000e-01 2.575000e+00 5.000000e-01 0.000000e+00
5.759257e-04 1.088450e-04 -2.980000e-01 2.625000e+00 5.000000e-01 0.000000e+00
7.893138e-04 1.248055e-04 -2.980000e-01 2.675000e+00 5.000000e-01 0.000000e+00
3.441125e-04 8.111450e-05 -2.980000e-01 2.725000e+00 5.000000e-01 0.000000e+00
