# Intensity Error [H,-0.5H,0] DeltaE [0,0,L] [0,K,0]
#  shape: 67x80x1x1
8.087958e-04 1.278821e-04 -2.830000e-01 6.250000e-01 0.000000e+00 5.000000e-01
5.674489e-04 1.072379e-04 -2.830000e-01 6.750000e-01 0.000000e+00 5.000000e-01
6.160271e-04 1.124708e-04 -2.830000e-01 7.250000e-01 0.000000e+00 5.000000e-01
6.191215e-04 1.130358e-04 -2.830000e-01 7.750000e-01 0.000000e+00 5.000000e-01
6.979623e-04 1.196997e-04 -2.830000e-01 8.250000e-01 0.000000e+00 5.000000e-01
5.296533e-04 1.038737e-04 -2.830000e-01 8.750000e-01 0.000000e+00 5.000000e-01
4.565354e-04 9.733389e-05 -2.830000e-01 9.250000e-01 0.000000e+00 5.000000e-01
7.237497e-04 1.241223e-04 -2.830000e-01 9.750000e-01 0.000000e+00 5.000000e-01
6.959251e-04 1.230236e-04 -2.830000e-01 1.025000e+00 0.000000e+00 5.000000e-01
8.399674e-04 1.362609e-04 -2.830000e-01 1.075000e+00 0.000000e+00 5.000000e-01
5.486462e-04 1.119921e-04 -2.830000e-01 1.125000e+00 0.000000e+00 5.000000e-01
5.571170e-04 1.137212e-04 -2.830000e-01 1.175000e+00 0.000000e+00 5.000000e-01
6.652814e-04 1.257265e-04 -2.830000e-01 1.225000e+00 0.000000e+00 5.000000e-01
9.587885e-04 1.515980e-04 -2.830000e-01 1.275000e+00 0.000000e+00 5.000000e-01
7.642883e-04 1.351086e-04 -2.830000e-01 1.325000e+00 0.000000e+00 5.000000e-01
9.127574e-04 1.480692e-04 -2.830000e-01 1.375000e+00 0.000000e+00 5.000000e-01
9.192105e-04 1.491160e-04 -2.830000e-01 1.425000e+00 0.000000e+00 5.000000e-01
1.085778e-03 1.636875e-04 -2.830000e-01 1.475000e+00 0.000000e+00 5.000000e-01
9.425361e-04 1.528999e-04 -2.830000e-01 1.525000e+00 0.000000e+00 5.000000e-01
1.287811e-03 1.785876e-04 -2.830000e-01 1.575000e+00 0.000000e+00 5.000000e-01
9.446533e-04 1.532433e-04 -2.830000e-01 1.625000e+00 0.000000e+00 5.000000e-01
1.624291e-03 1.999371e-04 -2.830000e-01 1.675000e+00 0.000000e+00 5.000000e-01
2.013678e-03 2.223741e-04 -2.830000e-01 1.725000e+00 0.000000e+00 5.000000e-01
1.563850e-03 1.954819e-04 -2.830000e-01 1.775000e+00 0.000000e+00 5.000000e-01
1.846563e-03 2.118157e-04 -2.830000e-01 1.825000e+00 0.000000e+00 5.000000e-01
2.258806e-03 2.329790e-04 -2.830000e-01 1.875000e+00 0.000000e+00 5.000000e-01
2.886569e-03 2.635073e-04 -2.830000e-01 1.925000e+00 0.000000e+00 5.000000e-01
2.112093e-03 2.251505e-04 -2.830000e-01 1.975000e+00 0.000000e+00 5.000000e-01
3.698093e-03 2.960855e-04 -2.830000e-01 2.025000e+00 0.000000e+00 5.000000e-01
3.330825e-03 2.795177e-04 -2.830000e-01 2.075000e+00 0.000000e+00 5.000000e-01
2.462858e-03 2.392148e-04 -2.830000e-01 2.125000e+00 0.000000e+00 5.000000e-01
2.191518e-03 2.236718e-04 -2.830000e-01 2.175000e+00 0.000000e+00 5.000000e-01
1.820793e-03 2.035718e-04 -2.830000e-01 2.225000e+00 0.000000e+00 5.000000e-01
1.856112e-03 2.049741e-04 -2.830000e-01 2.275000e+00 0.000000e+00 5.000000e-01
1.622097e-03 1.911667e-04 -2.830000e-01 2.325000e+00 0.000000e+00 5.000000e-01
1.551973e-03 1.854972e-04 -2.830000e-01 2.375000e+00 0.000000e+00 5.000000e-01
1.580992e-03 1.863225e-04 -2.830000e-01 2.425000e+00 0.000000e+00 5.000000e-01
