# Intensity Error [-0.5K,K,0] DeltaE [0,0,L] [H,0,0]
#  shape: 67x80x1x1
4.114318e-04 1.187705e-04 -2.830000e-01 2.225000e+00 0.000000e+00 5.000000e-01
2.720238e-04 9.617503e-05 -2.830000e-01 2.275000e+00 0.000000e+00 5.000000e-01
3.390458e-04 1.072161e-04 -2.830000e-01 2.325000e+00 0.000000e+00 5.000000e-01
4.015338e-04 1.159137e-04 -2.830000e-01 2.375000e+00 0.000000e+00 5.000000e-01
2.639379e-04 9.331624e-05 -2.830000e-01 2.425000e+00 0.000000e+00 5.000000e-01
4.561514e-04 1.219120e-04 -2.830000e-01 2.475000e+00 0.000000e+00 5.000000e-01
3.217848e-04 1.017579e-04 -2.830000e-01 2.525000e+00 0.000000e+00 5.000000e-01
2.557193e-04 9.041084e-05 -2.830000e-01 2.575000e+00 0.000000e+00 5.000000e-01
3.814855e-04 1.101263e-04 -2.830000e-01 2.625000e+00 0.000000e+00 5.000000e-01
1.870737e-04 7.637337e-05 -2.830000e-01 2.675000e+00 0.000000e+00 5.000000e-01
4.907281e-04 1.226830e-04 -2.830000e-01 2.725000e+00 0.000000e+00 5.000000e-01
2.423354e-04 8.567979e-05 -2.830000e-01 2.775000e+00 0.000000e+00 5.000000e-01
4.209823e-04 1.125128e-04 -2.830000e-01 2.825000e+00 0.000000e+00 5.000000e-01
1.771003e-04 7.230153e-05 -2.830000e-01 2.875000e+00 0.000000e+00 5.000000e-01
2.324209e-04 8.217382e-05 -2.830000e-01 2.925000e+00 0.000000e+00 5.000000e-01
1.713134e-04 6.993843e-05 -2.830000e-01 2.975000e+00 0.000000e+00 5.000000e-01
3.964676e-04 1.059618e-04 -2.830000e-01 3.025000e+00 0.000000e+00 5.000000e-01
1.663679e-04 6.791995e-05 -2.830000e-01 3.075000e+00 0.000000e+00 5.000000e-01
5.377156e-04 1.202377e-04 -2.830000e-01 3.125000e+00 0.000000e+00 5.000000e-01
3.699685e-04 9.887940e-05 -2.830000e-01 3.175000e+00 0.000000e+00 5.000000e-01
1.021438e-04 5.107206e-05 -2.830000e-01 3.225000e+00 0.000000e+00 5.000000e-01
1.485230e-04 6.063571e-05 -2.830000e-01 3.275000e+00 0.000000e+00 5.000000e-01
2.875195e-04 8.300053e-05 -2.830000e-01 3.325000e+00 0.000000e+00 5.000000e-01
4.150810e-04 9.783600e-05 -2.830000e-01 3.375000e+00 0.000000e+00 5.000000e-01
2.663375e-04 7.688560e-05 -2.830000e-01 3.425000e+00 0.000000e+00 5.000000e-01
3.878600e-04 9.142136e-05 -2.830000e-01 3.475000e+00 0.000000e+00 5.000000e-01
2.939717e-04 7.856885e-05 -2.830000e-01 3.525000e+00 0.000000e+00 5.000000e-01
2.472157e-04 7.136628e-05 -2.830000e-01 3.575000e+00 0.000000e+00 5.000000e-01
3.224576e-04 8.061692e-05 -2.830000e-01 3.625000e+00 0.000000e+00 5.000000e-01
4.281757e-04 9.128898e-05 -2.830000e-01 3.675000e+00 0.000000e+00 5.000000e-01
5.224342e-04 9.873539e-05 -2.830000e-01 3.725000e+00 0.000000e+00 5.000000e-01
3.982646e-04 8.491302e-05 -2.830000e-01 3.775000e+00 0.000000e+00 5.000000e-01
3.494369e-04 7.813852e-05 -2.830000e-01 3.825000e+00 0.000000e+00 5.000000e-01
3.405848e-04 7.616127e-05 -2.830000e-01 3.875000e+00 0.000000e+00 5.000000e-01
5.585829e-04 9.580031e-05 -2.830000e-01 3.925000e+00 0.000000e+00 5.000000e-01
8.015426e-04 1.111604e-04 -2.830000e-01 3.975000e+00 0.000000e+00 5.000000e-01
3.271006e-01 3.087232e-03 -2.630000e-01 2.500000e-02 0.000000e+00 5.000000e-01
1.812984e-01 2.321671e-03 -2.630000e-01 7.500000e-02 0.000000e+00 5.000000e-01
5.480681e-02 1.266724e-03 -2.630000e-01 1.250000e-01 0.000000e+00 5.000000e-01
2.819729e-02 9.062962e-04 -2.630000e-01 1.750000e-01 0.000000e+00 5.000000e-01
1.678918e-02 7.094730e-04 -2.630000e-01 2.250000e-01 0.000000e+00 5.000000e-01
9.264227e-03 5.278789e-04 -2.630000e-01 2.750000e-01 0.000000e+00 5.000000e-01
1.005612e-02 5.519020e-04 -2.630000e-01 3.250000e-01 0.000000e+00 5.000000e-01
7.096892e-03 4.639390e-04 -2.630000e-01 3.750000e-01 0.000000e+00 5.000000e-01
7.730503e-03 4.831570e-04 -2.630000e-01 4.250000e-01 0.000000e+00 5.000000e-01
