# Intensity Error [H,-0.5H,0] DeltaE [0,K,0] [0,0,L]
#  shape: 134x58x1x1
1.719950e-03 2.535937e-04 -2.980000e-01 4.250000e-01 5.000000e-01 0.000000e+00
9.066535e-04 1.850705e-04 -2.980000e-01 4.750000e-01 5.000000e-01 0.000000e+00
9.822705e-04 1.926398e-04 -2.980000e-01 5.250000e-01 5.000000e-01 0.000000e+00
1.357607e-03 2.262682e-04 -2.980000e-01 5.750000e-01 5.000000e-01 0.000000e+00
1.593270e-03 2.458477e-04 -2.980000e-01 6.250000e-01 5.000000e-01 0.000000e+00
1.652235e-03 2.490845e-04 -2.980000e-01 6.750000e-01 5.000000e-01 0.000000e+00
1.196912e-03 2.115868e-04 -2.980000e-01 7.250000e-01 5.000000e-01 0.000000e+00
2.065904e-03 2.760694e-04 -2.980000e-01 7.750000e-01 5.000000e-01 0.000000e+00
2.253437e-03 2.861880e-04 -2.980000e-01 8.250000e-01 5.000000e-01 0.000000e+00
2.164047e-03 2.793782e-04 -2.980000e-01 8.750000e-01 5.000000e-01 0.000000e+00
2.891065e-03 3.232323e-04 -2.980000e-01 9.250000e-01 5.000000e-01 0.000000e+00
3.095232e-03 3.337688e-04 -2.980000e-01 9.750000e-01 5.000000e-01 0.000000e+00
3.617274e-03 3.581654e-04 -2.980000e-01 1.025000e+00 5.000000e-01 0.000000e+00
2.936384e-03 3.203871e-04 -2.980000e-01 1.075000e+00 5.000000e-01 0.000000e+00
2.699110e-03 3.056159e-04 -2.980000e-01 1.125000e+00 5.000000e-01 0.000000e+00
2.186751e-03 2.733454e-04 -2.980000e-01 1.175000e+00 5.000000e-01 0.000000e+00
2.526961e-03 2.937549e-04 -2.980000e-01 1.225000e+00 5.000000e-01 0.000000e+00
2.037479e-03 2.630390e-04 -2.980000e-01 1.275000e+00 5.000000e-01 0.000000e+00
2.481225e-03 2.884381e-04 -2.980000e-01 1.325000e+00 5.000000e-01 0.000000e+00
1.247482e-03 2.023695e-04 -2.980000e-01 1.375000e+00 5.000000e-01 0.000000e+00
1.499248e-03 2.210535e-04 -2.980000e-01 1.425000e+00 5.000000e-01 0.000000e+00
1.877429e-03 2.465207e-04 -2.980000e-01 1.475000e+00 5.000000e-01 0.000000e+00
1.610375e-03 2.277434e-04 -2.980000e-01 1.525000e+00 5.000000e-01 0.000000e+00
1.256605e-03 1.986883e-04 -2.980000e-01 1.575000e+00 5.000000e-01 0.000000e+00
1.245329e-03 1.969057e-04 -2.980000e-01 1.625000e+00 5.000000e-01 0.000000e+00
1.730631e-03 2.312674e-04 -2.980000e-01 1.675000e+00 5.000000e-01 0.000000e+00
9.083576e-04 1.658446e-04 -2.980000e-01 1.725000e+00 5.000000e-01 0.000000e+00
1.318722e-03 1.988072e-04 -2.980000e-01 1.775000e+00 5.000000e-01 0.000000e+00
1.119759e-03 1.816510e-04 -2.980000e-01 1.825000e+00 5.000000e-01 0.000000e+00
6.398181e-04 1.364110e-04 -2.980000e-01 1.875000e+00 5.000000e-01 0.000000e+00
5.148143e-04 1.213452e-04 -2.980000e-01 1.925000e+00 5.000000e-01 0.000000e+00
7.346484e-04 1.440784e-04 -2.980000e-01 1.975000e+00 5.000000e-01 0.000000e+00
1.050412e-03 1.704013e-04 -2.980000e-01 2.025000e+00 5.000000e-01 0.000000e+00
1.033743e-03 1.676971e-04 -2.980000e-01 2.075000e+00 5.000000e-01 0.000000e+00
1.224077e-03 1.804841e-04 -2.980000e-01 2.125000e+00 5.000000e-01 0.000000e+00
1.047389e-03 1.656110e-04 -2.980000e-01 2.175000e+00 5.000000e-01 0.000000e+00
5.584632e-04 1.190665e-04 -2.980000e-01 2.225000e+00 5.000000e-01 0.000000e+00
8.530384e-04 1.462992e-04 -2.980000e-01 2.275000e+00 5.000000e-01 0.000000e+00
4.850768e-04 1.084681e-04 -2.980000e-01 2.325000e+00 5.000000e-01 0.000000e+00
4.311108e-04 1.016168e-04 -2.980000e-01 2.375000e+00 5.000000e-01 0.000000e+00
5.557370e-04 1.134422e-04 -2.980000e-01 2.425000e+00 5.000000e-01 0.000000e+00
5.398564e-04 1.102021e-04 -2.980000e-01 2.475000e+00 5.000000e-01 0.000000e+00
3.071886e-04 8.210189e-05 -2.980000e-01 2.525000e+00 5.000000e-01 0.000000e+00
3.394239e-04 8.485836e-05 -2.980000e-01 2.575000e+00 5.000000e-01 0.000000e+00
5.757666e-04 1.088160e-04 -2.980000e-01 2.625000e+00 5.000000e-01 0.000000e+00
5.177980e-04 1.015525e-04 -2.980000e-01 2.675000e+00 5.000000e-01 0.000000e+00
5.324319e-04 1.006280e-04 -2.980000e-01 2.725000e+00 5.000000e-01 0.000000e+00
4.403513e-04 8.989123e-05 -2.980000e-01 2.775000e+00 5.000000e-01 0.000000e+00
6.616596e-04 1.073445e-04 -2.980000e-01 2.825000e+00 5.000000e-01 0.000000e+00
1.177472e-03 1.387820e-04 -2.980000e-01 2.875000e+00 5.000000e-01 0.000000e+00
4.798948e-01 4.355137e-03 -2.880000e-01 2.500000e-02 5.000000e-01 0.000000e+00
8.267020e-02 1.813538e-03 -2.880000e-01 7.500000e-02 5.000000e-01 0.000000e+00
3.390659e-03 3.656250e-04 -2.880000e-01 1.250000e-01 5.000000e-01 0.000000e+00
1.892870e-03 2.732127e-04 -2.880000e-01 1.750000e-01 5.000000e-01 0.000000e+00
2.379322e-03 3.071701e-04 -2.880000e-01 2.250000e-01 5.000000e-01 0.000000e+00
1.420951e-03 2.368261e-04 -2.880000e-01 2.750000e-01 5.000000e-01 0.000000e+00
1.882897e-03 2.717736e-04 -2.880000e-01 3.250000e-01 5.000000e-01 0.000000e+00
7.796072e-04 1.743259e-04 -2.880000e-01 3.750000e-01 5.000000e-01 0.000000e+00
1.198855e-03 2.119301e-04 -2.880000e-01 4.250000e-01 5.000000e-01 0.000000e+00
1.038578e-03 1.962733e-04 -2.880000e-01 4.750000e-01 5.000000e-01 0.000000e+00
1.264215e-03 2.168116e-04 -2.880000e-01 5.250000e-01 5.000000e-01 0.000000e+00
1.490693e-03 2.356998e-04 -2.880000e-01 5.750000e-01 5.000000e-01 0.000000e+00
1.425656e-03 2.312728e-04 -2.880000e-01 6.250000e-01 5.000000e-01 0.000000e+00
1.350847e-03 2.251421e-04 -2.880000e-01 6.750000e-01 5.000000e-01 0.000000e+00
1.642534e-03 2.476224e-04 -2.880000e-01 7.250000e-01 5.000000e-01 0.000000e+00
1.768264e-03 2.552280e-04 -2.880000e-01 7.750000e-01 5.000000e-01 0.000000e+00
2.601589e-03 3.066014e-04 -2.880000e-01 8.250000e-01 5.000000e-01 0.000000e+00
2.227403e-03 2.828817e-04 -2.880000e-01 8.750000e-01 5.000000e-01 0.000000e+00
3.148304e-03 3.356116e-04 -2.880000e-01 9.250000e-01 5.000000e-01 0.000000e+00
2.491325e-03 2.977718e-04 -2.880000e-01 9.750000e-01 5.000000e-01 0.000000e+00
2.750986e-03 3.114894e-04 -2.880000e-01 1.025000e+00 5.000000e-01 0.000000e+00
2.997020e-03 3.231783e-04 -2.880000e-01 1.075000e+00 5.000000e-01 0.000000e+00
2.211132e-03 2.763930e-04 -2.880000e-01 1.125000e+00 5.000000e-01 0.000000e+00
2.736232e-03 3.059217e-04 -2.880000e-01 1.175000e+00 5.000000e-01 0.000000e+00
2.509300e-03 2.917017e-04 -2.880000e-01 1.225000e+00 5.000000e-01 0.000000e+00
2.210072e-03 2.720429e-04 -2.880000e-01 1.275000e+00 5.000000e-01 0.000000e+00
